Media,Judul,Tanggal,Link,Ringkasan,Tanggal_Ambil
CNN,Amnesty Respons Tuntutan 2 Tahun Penjara Delpedro dkk,"Sat, 28 Feb 2026 19:18:40 +0700",https://www.cnnindonesia.com/nasional/20260228185922-12-1332881/amnesty-respons-tuntutan-2-tahun-penjara-delpedro-dkk,"<img src=""https://akcdn.detik.net.id/visual/2026/02/27/jaksa-penuntut-umum-jpu-menuntut-majelis-hakim-pengadilan-negeri-pn-jakarta-pusat-menghukum-direktur-lokataru-foundation-delpe-1772181435710_169.jpeg?w=360&amp;q=90"" /> Usman Hamid dari Amnesty International menilai tuntutan 2 tahun penjara terhadap Delpedro Marhaen dkk sebagai bentuk pembungkaman kritik.",2026-02-28
CNN,Kakorlantas Ungkap 5 Klaster Utama untuk Pastikan Kemanan Pemudik,"Sat, 28 Feb 2026 19:14:09 +0700",https://www.cnnindonesia.com/nasional/20260228190819-20-1332882/kakorlantas-ungkap-5-klaster-utama-untuk-pastikan-kemanan-pemudik,"<img src=""https://akcdn.detik.net.id/visual/2026/02/12/kepala-korps-lalu-lintas-kakorlantas-polri-irjen-agus-suryonugroho-1770896117210_169.jpeg?w=360&amp;q=90"" /> Agus mengatakan Operasi Ketupat 2026 merupakan operasi yang mencerminkan kehadiran negara.",2026-02-28
CNN,Duplik Marcella Singgung Mafia Peradilan: Parasit Gerogoti Keadilan,"Sat, 28 Feb 2026 18:55:55 +0700",https://www.cnnindonesia.com/nasional/20260228160902-12-1332833/duplik-marcella-singgung-mafia-peradilan-parasit-gerogoti-keadilan,"<img src=""https://akcdn.detik.net.id/visual/2026/01/02/sidang-lanjutan-suap-cpo-pemeriksaan-saksi-mahkota-1767334615379_169.jpeg?w=360&amp;q=90"" /> Advokat Marcella Santoso mengklaim sebagai korban mafia peradilan dalam sidang suap hakim. Dia menolak tuduhan pencucian uang dan minta perlindungan hukum.",2026-02-28
CNN,"Kapolri Mutasi 54 Personel, Kakortastipidkor hingga Gubernur Akpol","Sat, 28 Feb 2026 18:38:47 +0700",https://www.cnnindonesia.com/nasional/20260228181133-12-1332878/kapolri-mutasi-54-personel-kakortastipidkor-hingga-gubernur-akpol,"<img src=""https://akcdn.detik.net.id/visual/2025/10/30/kapolri-pimpin-sertijab-kapolda-lampung-sulsel-1761795327243_169.jpeg?w=360&amp;q=90"" /> Kapolri Jenderal Listyo Sigit melakukan mutasi 54 perwira Polri untuk penyegaran organisasi. Ini bagian dari strategi manajemen SDM dan peningkatan kinerja.",2026-02-28
CNN,Gibran Puji Keberanian Gus Dur dan Megawati Izinkan Perayaan Imlek,"Sat, 28 Feb 2026 18:28:37 +0700",https://www.cnnindonesia.com/nasional/20260228170250-20-1332851/gibran-puji-keberanian-gus-dur-dan-megawati-izinkan-perayaan-imlek,"<img src=""https://akcdn.detik.net.id/visual/2025/08/15/wapres-gibran-rakabuming-raka-kiri-mengikuti-sidang-tahunan-mpr-ri-dan-sidang-bersama-dpr-dpd-ri-tahun-2025-1755230620483_169.jpeg?w=360&amp;q=90"" /> Wapres Gibran Rakabuming menyebut perayaan Tahun Baru Imlek yang diizinkan oleh Presiden ke-4 RI Gus Dur  sebagai simbol keberagaman dan toleransi di Indonesia.",2026-02-28
CNN,Pansus DPRD Kota Bandung Matangkan Ranperda Perilaku Seks Berisiko,"Sat, 28 Feb 2026 18:04:30 +0700",https://www.cnnindonesia.com/nasional/20260228180108-25-1332873/pansus-dprd-kota-bandung-matangkan-ranperda-perilaku-seks-berisiko,"<img src=""https://akcdn.detik.net.id/visual/2026/02/28/dprd-kota-bandung-1772276602949_169.jpeg?w=360&amp;q=90"" /> Saat ini, pasal-pasal Ranperda Pencegahan dan Pengendalian Perilaku Seks Berisiko dan Penyimpangan Seksual tengah didalami oleh Dinas Kesehatan.",2026-02-28
CNN,"Timur Tengah Membara, Prabowo Siap ke Teheran Jadi Fasilitator Dialog","Sat, 28 Feb 2026 17:31:22 +0700",https://www.cnnindonesia.com/nasional/20260228172710-20-1332859/timur-tengah-membara-prabowo-siap-ke-teheran-jadi-fasilitator-dialog,"<img src=""https://akcdn.detik.net.id/visual/2026/02/20/prabowo-subianto-di-ktt-board-of-peace-1771541487049_169.jpeg?w=360&amp;q=90"" /> Presiden Prabowo Subianto menyatakan kesiapannya menjadi fasilitator dialog di tengah tegang AS, Israel dan Iran. Prabowo bahkan siap bertolak ke Teheran, Iran.",2026-02-28
CNN,Kapolri Tunjuk Brigjen Totok Suharyanto Jadi Kakortastipidkor Polri,"Sat, 28 Feb 2026 17:15:06 +0700",https://www.cnnindonesia.com/nasional/20260228165306-12-1332848/kapolri-tunjuk-brigjen-totok-suharyanto-jadi-kakortastipidkor-polri,"<img src=""https://akcdn.detik.net.id/visual/2024/06/29/kapolri-pimpin-upacara-kenaikan-pangkat-31-pati-agung-setya-syahar-jadi-komjen_169.jpeg?w=360&amp;q=90"" /> Kapolri Jenderal Listyo Sigit Prabowo menunjuk Brigjen Totok Suharyanto sebagai Kakortastipidkor Polri. Mutasi ini untuk penyegaran dan penguatan kelembagaan.",2026-02-28
CNN,Mantan Kapolresta Sleman Dimutasi ke Divisi Hukum Polri,"Sat, 28 Feb 2026 16:51:51 +0700",https://www.cnnindonesia.com/nasional/20260228161714-12-1332837/mantan-kapolresta-sleman-dimutasi-ke-divisi-hukum-polri,"<img src=""https://akcdn.detik.net.id/visual/2026/01/30/profil-edy-setianto-kapolresta-sleman-yang-dinonaktifkan-buntut-kasus-hogi-1769766566063_169.png?w=360&amp;q=90"" /> Mantan Kapolresta Sleman Kombes Edy Setyanto dimutasi ke Divisi Hukum Polri setelah dijatuhi sanksi demosi terkait kasus Hogi Minaya.",2026-02-28
CNN,"Dipecat Buntut Kasus Narkoba, AKBP Didik Dimutasi ke Yanma Polri","Sat, 28 Feb 2026 16:25:01 +0700",https://www.cnnindonesia.com/nasional/20260228161157-12-1332834/dipecat-buntut-kasus-narkoba-akbp-didik-dimutasi-ke-yanma-polri,"<img src=""https://akcdn.detik.net.id/visual/2026/02/21/kapolres-bima-akbp-didik-putra-kuncoro-1771661166677_169.png?w=360&amp;q=90"" /> Mantan Kapolres Bima Kota, AKBP Didik Putra, dimutasi ke Yanma Polri setelah dijatuhi sanksi PTDH akibat kasus penyalahgunaan narkoba dan penerimaan setoran.",2026-02-28
CNN,"Nyai Ahmad Dahlan, Lentera Perempuan Pahlawan dari Muhammadiyah","Sat, 28 Feb 2026 16:00:50 +0700",https://www.cnnindonesia.com/nasional/20260206143047-20-1325373/nyai-ahmad-dahlan-lentera-perempuan-pahlawan-dari-muhammadiyah,"<img src=""https://akcdn.detik.net.id/visual/2026/02/13/ilustrasi-ulama-nyai-ahmad-dahlan-siti-walidah-1770977503510_169.jpeg?w=360&amp;q=90"" /> Siti Walidah, atau Nyai Ahmad Dahlan, berperan dalam pendirian Muhammadiyah dan Aisyiyah, memperjuangkan pendidikan dan pemberdayaan perempuan di Indonesia.",2026-02-28
CNN,Polemik Proyek Krematorium di Kalideres Jakbar,"Sat, 28 Feb 2026 15:20:43 +0700",https://www.cnnindonesia.com/nasional/20260228134603-20-1332782/polemik-proyek-krematorium-di-kalideres-jakbar,"<img src=""https://akcdn.detik.net.id/visual/2021/07/28/kremasi-jenazah-covid-19-di-utara-jakarta-11_169.jpeg?w=360&amp;q=90"" /> Warga Kalideres menolak pembangunan rumah duka dan krematorium di dekat perumahan mereka. Proyek ini dianggap tanpa sosialisasi dan melanggar peraturan.",2026-02-28
CNN,Jejak Kondom hingga Botol Miras di Taman Kota Cawang,"Sat, 28 Feb 2026 15:00:14 +0700",https://www.cnnindonesia.com/nasional/20260228141235-20-1332795/jejak-kondom-hingga-botol-miras-di-taman-kota-cawang,"<img src=""https://akcdn.detik.net.id/visual/2026/02/28/taman-kota-cawang-jakarta-timur-diduga-menjadi-tempat-asusila-di-dalamnya-ditemukan-alat-kontrasepsi-bekas-hingga-botol-minuma-1772262394945_169.jpeg?w=360&amp;q=90"" /> Taman Kota Cawang di Jakarta Timur diduga jadi lokasi asusila. Ditemukan kondom, pelumas, dan botol miras. Akses masuk kini ditutup permanen.",2026-02-28
CNN,Jadwal Buka Puasa Hari Ini Sabtu 28 Februari 2026,"Sat, 28 Feb 2026 15:00:09 +0700",https://www.cnnindonesia.com/nasional/20260205162520-20-1325017/jadwal-buka-puasa-hari-ini-sabtu-28-februari-2026,"<img src=""https://akcdn.detik.net.id/visual/2024/04/05/buka-puasa-bersama-di-malam-25-ramadhan-4_169.jpeg?w=360&amp;q=90"" /> Umat Islam mulai puasa pada 10 Ramadan 1447 Hijriah. Artikel ini merangkum waktu berbuka puasa di beberapa kota Indonesia, termasuk Jakarta dan Makassar.",2026-02-28
CNN,Menko PM Muhaimin Dorong Kesehatan Mental Jadi Agenda Strategis,"Sat, 28 Feb 2026 14:59:39 +0700",https://www.cnnindonesia.com/nasional/20260228144639-25-1332802/menko-pm-muhaimin-dorong-kesehatan-mental-jadi-agenda-strategis,"<img src=""https://akcdn.detik.net.id/visual/2026/02/28/kemenko-pm-1772264954902_169.jpeg?w=360&amp;q=90"" /> Sejumlah peristiwa tragis yang terjadi belakangan ini, seperti kasus bunuh diri pada anak dan remaja, disebut Menko PM Muhaimin sebagai alarm serius bagi bangsa.",2026-02-28
CNN,Kejagung Ajukan Banding Vonis 9 Terdakwa Kasus Korupsi Minyak Mentah,"Sat, 28 Feb 2026 14:50:14 +0700",https://www.cnnindonesia.com/nasional/20260228141458-12-1332794/kejagung-ajukan-banding-vonis-9-terdakwa-kasus-korupsi-minyak-mentah,"<img src=""https://akcdn.detik.net.id/visual/2025/12/31/capaian-kinerja-kejaksaan-ri-tahun-2025-1767167122393_169.jpeg?w=360&amp;q=90"" /> Kejagung ajukan banding atas vonis sembilan terdakwa kasus korupsi tata kelola minyak mentah dan produk kilang di PT Pertamina.",2026-02-28
CNN,"Kemendagri Minta Gubernur Kaltim Tinjau Ulang Mobil Dinas Rp8,5 Miliar","Sat, 28 Feb 2026 14:40:53 +0700",https://www.cnnindonesia.com/nasional/20260228140453-12-1332789/kemendagri-minta-gubernur-kaltim-tinjau-ulang-mobil-dinas-rp85-miliar,"<img src=""https://akcdn.detik.net.id/visual/2025/12/06/wamendagri-bima-arya-sugiarto-1765026175059_169.jpeg?w=360&amp;q=90"" /> Kemendagri sarankan Gubernur Kaltim Rudy Mas'ud tinjau ulang rencana pengadaan mobil dinas Rp8,5 miliar, karena bertentangan dengan prinsip efisiensi.",2026-02-28
CNN,"KPK Pantau Isu Pengadaan Mobil Dinas Gubernur Kaltim Rp8,5 Miliar","Sat, 28 Feb 2026 14:00:48 +0700",https://www.cnnindonesia.com/nasional/20260228130450-12-1332766/kpk-pantau-isu-pengadaan-mobil-dinas-gubernur-kaltim-rp85-miliar,"<img src=""https://akcdn.detik.net.id/visual/2019/02/07/037b39f7-b6d3-41a6-95df-09dc8bda027d_169.jpeg?w=360&amp;q=90"" /> KPK memantau pengadaan mobil dinas baru Gubernur Kalimantan Timur Rudy Mas'ud senilai Rp8,5 miliar. KPK ingatkan pentingnya perencanaan anggaran yang matang.",2026-02-28
CNN,"Perayaan Imlek, Polisi Bakal Rekayasa Lalin di Lapangan Banteng","Sat, 28 Feb 2026 13:42:14 +0700",https://www.cnnindonesia.com/nasional/20260228123533-32-1332761/perayaan-imlek-polisi-bakal-rekayasa-lalin-di-lapangan-banteng,"<img src=""https://akcdn.detik.net.id/visual/2026/02/14/festival-imlek-jakarta-di-bundaran-hi-1771038605888_169.jpeg?w=360&amp;q=90"" /> Ditlantas Polda Metro Jaya siapkan rekayasa lalu lintas dan pengamanan untuk Perayaan Imlek di Jakarta. 150 personel dikerahkan untuk kelancaran acara.",2026-02-28
CNN,"Geledah Rumah Eks Pj Sekda Pati, KPK Bakal Kembangkan Kasus Sudewo","Sat, 28 Feb 2026 13:18:23 +0700",https://www.cnnindonesia.com/nasional/20260228122533-12-1332758/geledah-rumah-eks-pj-sekda-pati-kpk-bakal-kembangkan-kasus-sudewo,"<img src=""https://akcdn.detik.net.id/visual/2026/02/06/pemeriksaan-lanjutan-sudewo-1770375955680_169.jpeg?w=360&amp;q=90"" /> KPK mengembangkan penyidikan dugaan pemerasan calon perangkat desa yang melibatkan Bupati Pati nonaktif Sudewo, setelah penggeledahan di rumah Riyoso.",2026-02-28
CNN,"Kebut Relokasi di Sumatra, Satgas PRR Kejar Target Sebelum Idulfitri","Sat, 28 Feb 2026 12:56:44 +0700",https://www.cnnindonesia.com/nasional/20260228123444-25-1332760/kebut-relokasi-di-sumatra-satgas-prr-kejar-target-sebelum-idulfitri,"<img src=""https://akcdn.detik.net.id/visual/2026/02/28/kemendagri-1772256969641_169.jpeg?w=360&amp;q=90"" /> Guna mendukung percepatan, Satgas PRR terus mendorong pembangunan hunian sementara (huntara), hunian tetap (huntap), serta penyaluran dana tunggu hunian.",2026-02-28
CNN,UIN Suska Riau Akan DO Mahasiswa Pembacok Mahasiswi di Kampus,"Sat, 28 Feb 2026 12:52:13 +0700",https://www.cnnindonesia.com/nasional/20260228115446-12-1332754/uin-suska-riau-akan-do-mahasiswa-pembacok-mahasiswi-di-kampus,"<img src=""https://akcdn.detik.net.id/visual/2026/02/26/wanita-dibacok-di-uin-susksa-riau-1772089165650_169.jpeg?w=360&amp;q=90"" /> UIN Suska Riau akan 'memecat' atau men-DO Raihan Mufazzar  buntut pembacokan yang dilakukannya terhadap mahasiswi Faradilla Ayu Pramesti beberapa waktu lalu.",2026-02-28
CNN,"Pelaku Pelecehan di KRL Ditangkap, NIK Langsung Diblacklist","Sat, 28 Feb 2026 12:08:12 +0700",https://www.cnnindonesia.com/nasional/20260228113202-12-1332741/kai-commuter-tangkap-pelaku-pelecehan-di-krl-via-cctv-analytic,"<img src=""https://akcdn.detik.net.id/visual/2023/02/13/melihat-stasiun-manggarai-saat-jam-pulang-kerja-9_169.jpeg?w=360&amp;q=90"" /> KAI Commuter menangkap terduga pelaku pelecehan seksual di KRL dengan bantuan sistem CCTV Analytic.",2026-02-28
CNN,Penari Thailand dan DJ China Dideportasi Buntut Langgar Izin Tinggal,"Sat, 28 Feb 2026 10:17:10 +0700",https://www.cnnindonesia.com/nasional/20260228094708-12-1332712/penari-thailand-dan-dj-china-dideportasi-buntut-langgar-izin-tinggal,"<img src=""https://akcdn.detik.net.id/visual/2023/05/30/ilustrasi-penangkapan-3_169.jpeg?w=360&amp;q=90"" /> Warga China dan Thailand dideportasi buntut menyalahgunakan izin tinggal di Indonesia.",2026-02-28
CNN,Menteri KKP Marah-marah saat Tinjau Kampung Nelayan di Lombok,"Sat, 28 Feb 2026 08:50:29 +0700",https://www.cnnindonesia.com/nasional/20260228082052-20-1332696/menteri-kkp-marah-marah-saat-tinjau-kampung-nelayan-di-lombok,"<img src=""https://akcdn.detik.net.id/visual/2023/05/31/menteri-kelautan-dan-perikanan-wahyu-trenggono-11_169.jpeg?w=360&amp;q=90"" /> Menteri KKP Wahyu Trenggono langsung mempertanyakan mutu konstruksi kepada pihak pelaksana proyek, bahkan menyinggung keterlibatan BUMN.",2026-02-28
CNN,"Fakta Penangkapan Koh Erwin, Bandar Narkoba di Kasus Eks Kapolres Bima","Sat, 28 Feb 2026 08:30:26 +0700",https://www.cnnindonesia.com/nasional/20260228080113-12-1332695/fakta-penangkapan-koh-erwin-bandar-narkoba-di-kasus-eks-kapolres-bima,"<img src=""https://akcdn.detik.net.id/visual/2026/02/27/bandar-narkoba-penyuap-mantan-kapolres-bima-tiba-di-jakarta-1772179997521_169.jpeg?w=360&amp;q=90"" /> Penangkapan Koh Erwin dilakukan oleh tim gabungan Satgas NIC dan tim Subdit IV.",2026-02-28
CNN,Keterangan Seskab Teddy soal MBG dan Anggaran Pendidikan,"Sat, 28 Feb 2026 08:16:55 +0700",https://www.cnnindonesia.com/nasional/20260228073505-20-1332691/keterangan-seskab-teddy-soal-mbg-dan-anggaran-pendidikan,"<img src=""https://akcdn.detik.net.id/visual/2025/04/11/sekretaris-kabinet-teddy-indra-wijaya-mendampingi-presiden-prabowo-subianto-di-turki-1744340043416_169.png?w=360&amp;q=90"" /> Sekretaris Kabinet Teddy Indra Wijaya memastikan pelaksanaan Program MBG oleh Presiden Prabowo Subianto tidak mengganggu program dan anggaran pendidikan.",2026-02-28
CNN,KPK Sebut Pejabat Bea Cukai Pakai Uang Korupsi Beli Mobil Operasional,"Sat, 28 Feb 2026 07:30:05 +0700",https://www.cnnindonesia.com/nasional/20260228064431-12-1332689/kpk-sebut-pejabat-bea-cukai-pakai-uang-korupsi-beli-mobil-operasional,"<img src=""https://akcdn.detik.net.id/visual/2025/10/01/kendaraan-sitaan-kasus-k3-kemnaker-dipindahkan-ke-rupbasan-kpk-1759299092705_169.jpeg?w=360&amp;q=90"" /> KPK mengungkapkan mobil-mobil tersebut digunakan untuk kebutuhan yang mendesak sehingga para pejabat Bea Cukai itu tidak harus mengambil uang ke safe house.",2026-02-28
CNN,"Viral Istri TNI Selingkuh dengan 13 Prajurit, Kodam XVII Bersuara","Sat, 28 Feb 2026 06:42:49 +0700",https://www.cnnindonesia.com/nasional/20260228060153-20-1332679/viral-istri-tni-selingkuh-dengan-13-prajurit-kodam-xvii-bersuara,"<img src=""https://akcdn.detik.net.id/visual/2020/10/27/ilustrasi-selingkuh_169.jpeg?w=360&amp;q=90"" /> Letkol Kodam Cendrawasih belum membeberkan lebih jauh terkait dugaan perselingkuhan tersebut. Namun, dia memastikan pihaknya telah mengusutnya.",2026-02-28
CNN,Komdigi Buka Suara Sebab Wikipedia Indonesia Tak Bisa Diakses,"Sat, 28 Feb 2026 06:12:00 +0700",https://www.cnnindonesia.com/nasional/20260228035644-20-1332669/komdigi-buka-suara-sebab-wikipedia-indonesia-tak-bisa-diakses,"<img src=""https://akcdn.detik.net.id/visual/2019/05/16/b7781d84-6d78-4444-8df1-e473b96a1980_169.jpeg?w=360&amp;q=90"" /> Pemilik akun Wikipedia Indonesia tidak dapat masuk ke website untuk melakukan penyuntingan ataupun menambahkan artikel baru.",2026-02-28
CNN,Mensos Targetkan 300 Ribu Lansia Terima Makan Bergizi Gratis,"Sat, 28 Feb 2026 04:51:34 +0700",https://www.cnnindonesia.com/nasional/20260228044533-20-1332672/mensos-targetkan-300-ribu-lansia-terima-makan-bergizi-gratis,"<img src=""https://akcdn.detik.net.id/visual/2026/02/19/menyemai-semangat-di-usia-senja-lewat-sekolah-lansia-di-priok-1771477309003_169.jpeg?w=360&amp;q=90"" /> Program MBG lansia mengutamakan mereka yang berusia 75 tahun ke atas, hidup seorang diri, penyandang disabilitas dan keterbatasan akses pemenuhan gizi harian.",2026-02-28
CNN,Jejak Pergerakan Uang Suap Bea Cukai di Safe House Jakarta ke Ciputat,"Sat, 28 Feb 2026 03:47:07 +0700",https://www.cnnindonesia.com/nasional/20260227162559-12-1332557/jejak-pergerakan-uang-suap-bea-cukai-di-safe-house-jakarta-ke-ciputat,"<img src=""https://akcdn.detik.net.id/visual/2026/02/06/kpk-tetapkan-6-tersangka-ott-importasi-barang-di-djbc-1770343725856_169.jpeg?w=360&amp;q=90"" /> KPK ungkap pemindahan uang pegawai Bea Cukai dalam kasus suap impor. Tujuh tersangka ditahan, total uang yang disita lebih dari Rp 5,19 miliar.",2026-02-28
CNN,KPK Duga Korupsi di Bea Cukai Berjenjang Terkait Pegawai Budiman Bayu,"Sat, 28 Feb 2026 03:10:02 +0700",https://www.cnnindonesia.com/nasional/20260228025154-20-1332667/kpk-duga-korupsi-di-bea-cukai-berjenjang-terkait-pegawai-budiman-bayu,"<img src=""https://akcdn.detik.net.id/visual/2026/02/06/tersangka-kasus-korupsi-di-kpp-madya-banjarmasin-1770345726490_169.jpeg?w=360&amp;q=90"" /> Terkait dugaan korupsi berjenjang, KPK memutuskan untuk mendalami ada atau tidaknya perintah dari pejabat di atas Budiman Bayu.",2026-02-28
CNN,"Cegah Prostitusi, Taman Kota Cawang Jaktim Dipasangi Lampu Tembak","Sat, 28 Feb 2026 02:55:03 +0700",https://www.cnnindonesia.com/nasional/20260227194516-20-1332643/cegah-prostitusi-taman-kota-cawang-jaktim-dipasangi-lampu-tembak,"<img src=""https://akcdn.detik.net.id/visual/2015/03/05/6840e641-abd0-4fce-9652-6d5acf7cb08c_169.jpg?w=360&amp;q=90"" /> Pemkot Jakarta Timur pasang lampu tembak di Taman Kota Cawang untuk mencegah praktik prostitusi. Sebelumnya di lokasi ditemukan sampah-sampah alat kontrasepsi.",2026-02-28
CNN,Jadwal Imsak dan Subuh Hari Ini Sabtu 28 Februari 2026,"Sat, 28 Feb 2026 02:30:21 +0700",https://www.cnnindonesia.com/nasional/20260205160955-20-1325008/jadwal-imsak-dan-subuh-hari-ini-sabtu-28-februari-2026,"<img src=""https://akcdn.detik.net.id/visual/2022/04/02/ilustrasi-membangunkan-sahur_169.jpeg?w=360&amp;q=90"" /> Umat Islam memasuki puasa hari 10 Ramadan 1447 Hijriah. Berikut jadwal imsak dan subuh di beberapa kota Indonesia hari ini.",2026-02-28
CNN,KPK: Kasus Suap Pejabat Bea Cukai Penyebab Maraknya Rokok Ilegal,"Sat, 28 Feb 2026 01:12:41 +0700",https://www.cnnindonesia.com/nasional/20260227201154-12-1332648/kpk-kasus-suap-pejabat-bea-cukai-penyebab-maraknya-rokok-ilegal,"<img src=""https://akcdn.detik.net.id/visual/2024/07/31/pemusnahan-miras-ilegal-17_169.jpeg?w=360&amp;q=90"" /> KPK ungkap dugaan suap di Bea Cukai yang picu peredaran rokok ilegal. Tujuh tersangka ditahan, termasuk pejabat dan produsen rokok.",2026-02-28
CNN,Polisi Tetapkan Suami Mutilasi Istri di Tanjungpinang Jadi Tersangka,"Fri, 27 Feb 2026 22:32:57 +0700",https://www.cnnindonesia.com/nasional/20260227202247-12-1332654/polisi-tetapkan-suami-mutilasi-istri-di-tanjungpinang-jadi-tersangka,"<img src=""https://akcdn.detik.net.id/visual/2024/02/04/ilustrasi-korban-tewas_169.jpeg?w=360&amp;q=90"" /> Polresta Tanjungpinang mengusut kasus pembunuhan mutilasi oleh N (67) terhadap istrinya H (56). Pelaku adalah residivis dengan motif emosi.",2026-02-28
CNN,KPK Sudah Beres Hitung Kerugian Negara dalam Kasus Korupsi Kuota Haji,"Fri, 27 Feb 2026 21:54:35 +0700",https://www.cnnindonesia.com/nasional/20260227205105-12-1332661/kpk-sudah-beres-hitung-kerugian-negara-dalam-kasus-korupsi-kuota-haji,"<img src=""https://akcdn.detik.net.id/visual/2026/02/09/asep-guntur-rahayu-1770636045012_169.jpeg?w=360&amp;q=90"" /> KPK mengklaim telah menghitung kerugian negara dari dugaan korupsi kuota haji tambahan, dengan kerugian awal diperkirakan lebih dari Rp1 T.",2026-02-28
